model,parameter_signature,mean_test_score,std_test_score,fold_1_balanced_accuracy,fold_2_balanced_accuracy,fold_3_balanced_accuracy,fold_4_balanced_accuracy,fold_5_balanced_accuracy,param_C,param_class_weight,param_max_depth,param_min_samples_leaf,param_ccp_alpha,param_kernel
LogisticRegression,C=0.1; class_weight=None,0.5124039829302987,0.028351809507247472,0.4945945945945946,0.4891891891891892,0.5182076813655762,0.5654338549075392,0.4945945945945946,0.1,,,,,
LogisticRegression,C=0.1; class_weight=balanced,0.6176386913229018,0.05446671857746096,0.6179231863442389,0.5625889046941679,0.5827880512091038,0.7197724039829303,0.6051209103840682,0.1,balanced,,,,
LogisticRegression,C=1.0; class_weight=None,0.5233285917496444,0.03231855929308278,0.5128022759601707,0.4864864864864865,0.5128022759601707,0.5836415362731152,0.5209103840682788,1.0,,,,,
LogisticRegression,C=1.0; class_weight=balanced,0.6172403982930299,0.0563361492125904,0.6206258890469417,0.5733997155049787,0.5854907539118065,0.7251778093883356,0.5815078236130867,1.0,balanced,,,,
LogisticRegression,C=5.0; class_weight=None,0.5222475106685633,0.031502682375016626,0.510099573257468,0.4864864864864865,0.5128022759601707,0.5809388335704125,0.5209103840682788,5.0,,,,,
LogisticRegression,C=5.0; class_weight=balanced,0.6114366998577525,0.04910672510726726,0.6179231863442389,0.5706970128022759,0.5854907539118065,0.7042674253200569,0.578805120910384,5.0,balanced,,,,
DecisionTreeClassifier,ccp_alpha=0.0; class_weight=None; max_depth=3; min_samples_leaf=1,0.5020199146514936,0.00868171413727179,0.5,0.5,0.4918918918918919,0.5182076813655762,0.5,,,3.0,1.0,0.0,
DecisionTreeClassifier,ccp_alpha=0.0005; class_weight=None; max_depth=3; min_samples_leaf=1,0.5020199146514936,0.00868171413727179,0.5,0.5,0.4918918918918919,0.5182076813655762,0.5,,,3.0,1.0,0.0005,
DecisionTreeClassifier,ccp_alpha=0.001; class_weight=None; max_depth=3; min_samples_leaf=1,0.5020199146514936,0.00868171413727179,0.5,0.5,0.4918918918918919,0.5182076813655762,0.5,,,3.0,1.0,0.001,
DecisionTreeClassifier,ccp_alpha=0.005; class_weight=None; max_depth=3; min_samples_leaf=1,0.5020199146514936,0.00868171413727179,0.5,0.5,0.4918918918918919,0.5182076813655762,0.5,,,3.0,1.0,0.005,
DecisionTreeClassifier,ccp_alpha=0.01; class_weight=None; max_depth=3; min_samples_leaf=1,0.5,0.0,0.5,0.5,0.5,0.5,0.5,,,3.0,1.0,0.01,
DecisionTreeClassifier,ccp_alpha=0.0; class_weight=balanced; max_depth=3; min_samples_leaf=1,0.5284210526315789,0.015302923465205998,0.5318634423897581,0.538122332859175,0.5436699857752489,0.5288762446657184,0.4995732574679943,,balanced,3.0,1.0,0.0,
DecisionTreeClassifier,ccp_alpha=0.0005; class_weight=balanced; max_depth=3; min_samples_leaf=1,0.5284210526315789,0.015302923465205998,0.5318634423897581,0.538122332859175,0.5436699857752489,0.5288762446657184,0.4995732574679943,,balanced,3.0,1.0,0.0005,
DecisionTreeClassifier,ccp_alpha=0.001; class_weight=balanced; max_depth=3; min_samples_leaf=1,0.5284210526315789,0.015302923465205998,0.5318634423897581,0.538122332859175,0.5436699857752489,0.5288762446657184,0.4995732574679943,,balanced,3.0,1.0,0.001,
DecisionTreeClassifier,ccp_alpha=0.005; class_weight=balanced; max_depth=3; min_samples_leaf=1,0.5284210526315789,0.015302923465205998,0.5318634423897581,0.538122332859175,0.5436699857752489,0.5288762446657184,0.4995732574679943,,balanced,3.0,1.0,0.005,
DecisionTreeClassifier,ccp_alpha=0.01; class_weight=balanced; max_depth=3; min_samples_leaf=1,0.5284210526315789,0.015302923465205998,0.5318634423897581,0.538122332859175,0.5436699857752489,0.5288762446657184,0.4995732574679943,,balanced,3.0,1.0,0.01,
DecisionTreeClassifier,ccp_alpha=0.0; class_weight=None; max_depth=3; min_samples_leaf=5,0.5031009957325747,0.0076255280465330815,0.5,0.5,0.4972972972972973,0.5182076813655762,0.5,,,3.0,5.0,0.0,
DecisionTreeClassifier,ccp_alpha=0.0005; class_weight=None; max_depth=3; min_samples_leaf=5,0.5031009957325747,0.0076255280465330815,0.5,0.5,0.4972972972972973,0.5182076813655762,0.5,,,3.0,5.0,0.0005,
DecisionTreeClassifier,ccp_alpha=0.001; class_weight=None; max_depth=3; min_samples_leaf=5,0.5031009957325747,0.0076255280465330815,0.5,0.5,0.4972972972972973,0.5182076813655762,0.5,,,3.0,5.0,0.001,
DecisionTreeClassifier,ccp_alpha=0.005; class_weight=None; max_depth=3; min_samples_leaf=5,0.5020199146514936,0.00868171413727179,0.5,0.5,0.4918918918918919,0.5182076813655762,0.5,,,3.0,5.0,0.005,
DecisionTreeClassifier,ccp_alpha=0.01; class_weight=None; max_depth=3; min_samples_leaf=5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,,,3.0,5.0,0.01,
DecisionTreeClassifier,ccp_alpha=0.0; class_weight=balanced; max_depth=3; min_samples_leaf=5,0.5284210526315789,0.015302923465205998,0.5318634423897581,0.538122332859175,0.5436699857752489,0.5288762446657184,0.4995732574679943,,balanced,3.0,5.0,0.0,
DecisionTreeClassifier,ccp_alpha=0.0005; class_weight=balanced; max_depth=3; min_samples_leaf=5,0.5284210526315789,0.015302923465205998,0.5318634423897581,0.538122332859175,0.5436699857752489,0.5288762446657184,0.4995732574679943,,balanced,3.0,5.0,0.0005,
DecisionTreeClassifier,ccp_alpha=0.001; class_weight=balanced; max_depth=3; min_samples_leaf=5,0.5284210526315789,0.015302923465205998,0.5318634423897581,0.538122332859175,0.5436699857752489,0.5288762446657184,0.4995732574679943,,balanced,3.0,5.0,0.001,
DecisionTreeClassifier,ccp_alpha=0.005; class_weight=balanced; max_depth=3; min_samples_leaf=5,0.5284210526315789,0.015302923465205998,0.5318634423897581,0.538122332859175,0.5436699857752489,0.5288762446657184,0.4995732574679943,,balanced,3.0,5.0,0.005,
DecisionTreeClassifier,ccp_alpha=0.01; class_weight=balanced; max_depth=3; min_samples_leaf=5,0.5284210526315789,0.015302923465205998,0.5318634423897581,0.538122332859175,0.5436699857752489,0.5288762446657184,0.4995732574679943,,balanced,3.0,5.0,0.01,
DecisionTreeClassifier,ccp_alpha=0.0; class_weight=None; max_depth=3; min_samples_leaf=10,0.5025604551920342,0.006556360442856722,0.5,0.5,0.4972972972972973,0.5155049786628734,0.5,,,3.0,10.0,0.0,
DecisionTreeClassifier,ccp_alpha=0.0005; class_weight=None; max_depth=3; min_samples_leaf=10,0.5025604551920342,0.006556360442856722,0.5,0.5,0.4972972972972973,0.5155049786628734,0.5,,,3.0,10.0,0.0005,
DecisionTreeClassifier,ccp_alpha=0.001; class_weight=None; max_depth=3; min_samples_leaf=10,0.5025604551920342,0.006556360442856722,0.5,0.5,0.4972972972972973,0.5155049786628734,0.5,,,3.0,10.0,0.001,
DecisionTreeClassifier,ccp_alpha=0.005; class_weight=None; max_depth=3; min_samples_leaf=10,0.5025604551920342,0.006556360442856722,0.5,0.5,0.4972972972972973,0.5155049786628734,0.5,,,3.0,10.0,0.005,
DecisionTreeClassifier,ccp_alpha=0.01; class_weight=None; max_depth=3; min_samples_leaf=10,0.5,0.0,0.5,0.5,0.5,0.5,0.5,,,3.0,10.0,0.01,
DecisionTreeClassifier,ccp_alpha=0.0; class_weight=balanced; max_depth=3; min_samples_leaf=10,0.52950213371266,0.01648711854915896,0.5318634423897581,0.538122332859175,0.5490753911806543,0.5288762446657184,0.4995732574679943,,balanced,3.0,10.0,0.0,
DecisionTreeClassifier,ccp_alpha=0.0005; class_weight=balanced; max_depth=3; min_samples_leaf=10,0.52950213371266,0.01648711854915896,0.5318634423897581,0.538122332859175,0.5490753911806543,0.5288762446657184,0.4995732574679943,,balanced,3.0,10.0,0.0005,
DecisionTreeClassifier,ccp_alpha=0.001; class_weight=balanced; max_depth=3; min_samples_leaf=10,0.52950213371266,0.01648711854915896,0.5318634423897581,0.538122332859175,0.5490753911806543,0.5288762446657184,0.4995732574679943,,balanced,3.0,10.0,0.001,
DecisionTreeClassifier,ccp_alpha=0.005; class_weight=balanced; max_depth=3; min_samples_leaf=10,0.52950213371266,0.01648711854915896,0.5318634423897581,0.538122332859175,0.5490753911806543,0.5288762446657184,0.4995732574679943,,balanced,3.0,10.0,0.005,
DecisionTreeClassifier,ccp_alpha=0.01; class_weight=balanced; max_depth=3; min_samples_leaf=10,0.5257183499288762,0.014729425793597989,0.5318634423897581,0.538122332859175,0.5328591749644381,0.5288762446657184,0.4968705547652916,,balanced,3.0,10.0,0.01,
DecisionTreeClassifier,ccp_alpha=0.0; class_weight=None; max_depth=5; min_samples_leaf=1,0.5056614509246088,0.009544542970545161,0.4972972972972973,0.4972972972972973,0.5,0.5128022759601707,0.5209103840682788,,,5.0,1.0,0.0,
DecisionTreeClassifier,ccp_alpha=0.0005; class_weight=None; max_depth=5; min_samples_leaf=1,0.5056614509246088,0.009544542970545161,0.4972972972972973,0.4972972972972973,0.5,0.5128022759601707,0.5209103840682788,,,5.0,1.0,0.0005,
DecisionTreeClassifier,ccp_alpha=0.001; class_weight=None; max_depth=5; min_samples_leaf=1,0.5056614509246088,0.009544542970545161,0.4972972972972973,0.4972972972972973,0.5,0.5128022759601707,0.5209103840682788,,,5.0,1.0,0.001,
DecisionTreeClassifier,ccp_alpha=0.005; class_weight=None; max_depth=5; min_samples_leaf=1,0.500398293029872,0.006433237046267145,0.4972972972972973,0.4972972972972973,0.4945945945945946,0.5128022759601707,0.5,,,5.0,1.0,0.005,
DecisionTreeClassifier,ccp_alpha=0.01; class_weight=None; max_depth=5; min_samples_leaf=1,0.5,0.0,0.5,0.5,0.5,0.5,0.5,,,5.0,1.0,0.01,
DecisionTreeClassifier,ccp_alpha=0.0; class_weight=balanced; max_depth=5; min_samples_leaf=1,0.5338833570412518,0.04767659546273678,0.5637268847795164,0.5163584637268848,0.5712660028449502,0.5704125177809388,0.44765291607396873,,balanced,5.0,1.0,0.0,
DecisionTreeClassifier,ccp_alpha=0.0005; class_weight=balanced; max_depth=5; min_samples_leaf=1,0.5338833570412518,0.04767659546273678,0.5637268847795164,0.5163584637268848,0.5712660028449502,0.5704125177809388,0.44765291607396873,,balanced,5.0,1.0,0.0005,
DecisionTreeClassifier,ccp_alpha=0.001; class_weight=balanced; max_depth=5; min_samples_leaf=1,0.5338833570412518,0.04767659546273678,0.5637268847795164,0.5163584637268848,0.5712660028449502,0.5704125177809388,0.44765291607396873,,balanced,5.0,1.0,0.001,
DecisionTreeClassifier,ccp_alpha=0.005; class_weight=balanced; max_depth=5; min_samples_leaf=1,0.5338833570412518,0.04767659546273678,0.5637268847795164,0.5163584637268848,0.5712660028449502,0.5704125177809388,0.44765291607396873,,balanced,5.0,1.0,0.005,
