feature,strategy,fill_value,training_missing_count,fitted_on
AGE,median,63.0,7,final fit partition
SEX,mode,1.0,0,final fit partition
INF_ANAM,mode,0.0,3,final fit partition
STENOK_AN,mode,0.0,62,final fit partition
FK_STENOK,mode,2.0,39,final fit partition
IBS_POST,mode,2.0,28,final fit partition
GB,mode,2.0,5,final fit partition
SIM_GIPERT,mode,0.0,5,final fit partition
DLIT_AG,mode,0.0,157,final fit partition
ZSN_A,mode,0.0,35,final fit partition
nr_11,mode,0.0,13,final fit partition
nr_01,mode,0.0,13,final fit partition
nr_02,mode,0.0,13,final fit partition
nr_03,mode,0.0,13,final fit partition
nr_04,mode,0.0,13,final fit partition
nr_07,mode,0.0,13,final fit partition
nr_08,mode,0.0,13,final fit partition
np_01,mode,0.0,12,final fit partition
np_04,mode,0.0,12,final fit partition
np_05,mode,0.0,12,final fit partition
np_07,mode,0.0,12,final fit partition
np_08,mode,0.0,12,final fit partition
np_09,mode,0.0,12,final fit partition
np_10,mode,0.0,12,final fit partition
endocr_01,mode,0.0,5,final fit partition
endocr_02,mode,0.0,5,final fit partition
endocr_03,mode,0.0,5,final fit partition
zab_leg_01,mode,0.0,3,final fit partition
zab_leg_02,mode,0.0,3,final fit partition
zab_leg_03,mode,0.0,3,final fit partition
zab_leg_04,mode,0.0,3,final fit partition
zab_leg_06,mode,0.0,3,final fit partition
S_AD_ORIT,median,130.0,166,final fit partition
D_AD_ORIT,median,80.0,166,final fit partition
O_L_POST,mode,0.0,6,final fit partition
K_SH_POST,mode,0.0,8,final fit partition
MP_TP_POST,mode,0.0,7,final fit partition
SVT_POST,mode,0.0,6,final fit partition
GT_POST,mode,0.0,6,final fit partition
FIB_G_POST,mode,0.0,6,final fit partition
ant_im,mode,0.0,47,final fit partition
lat_im,mode,1.0,44,final fit partition
inf_im,mode,0.0,50,final fit partition
post_im,mode,0.0,44,final fit partition
IM_PG_P,mode,0.0,1,final fit partition
ritm_ecg_p_01,mode,1.0,98,final fit partition
ritm_ecg_p_02,mode,0.0,98,final fit partition
ritm_ecg_p_04,mode,0.0,98,final fit partition
ritm_ecg_p_06,mode,0.0,98,final fit partition
ritm_ecg_p_07,mode,0.0,98,final fit partition
ritm_ecg_p_08,mode,0.0,98,final fit partition
n_r_ecg_p_01,mode,0.0,75,final fit partition
n_r_ecg_p_02,mode,0.0,75,final fit partition
n_r_ecg_p_03,mode,0.0,75,final fit partition
n_r_ecg_p_04,mode,0.0,75,final fit partition
n_r_ecg_p_05,mode,0.0,75,final fit partition
n_r_ecg_p_06,mode,0.0,75,final fit partition
n_r_ecg_p_08,mode,0.0,75,final fit partition
n_r_ecg_p_09,mode,0.0,75,final fit partition
n_r_ecg_p_10,mode,0.0,75,final fit partition
n_p_ecg_p_01,mode,0.0,75,final fit partition
n_p_ecg_p_03,mode,0.0,75,final fit partition
n_p_ecg_p_04,mode,0.0,75,final fit partition
n_p_ecg_p_05,mode,0.0,75,final fit partition
n_p_ecg_p_06,mode,0.0,75,final fit partition
n_p_ecg_p_07,mode,0.0,75,final fit partition
n_p_ecg_p_08,mode,0.0,75,final fit partition
n_p_ecg_p_09,mode,0.0,75,final fit partition
n_p_ecg_p_10,mode,0.0,75,final fit partition
n_p_ecg_p_11,mode,0.0,75,final fit partition
n_p_ecg_p_12,mode,0.0,75,final fit partition
fibr_ter_01,mode,0.0,8,final fit partition
fibr_ter_02,mode,0.0,8,final fit partition
fibr_ter_03,mode,0.0,8,final fit partition
fibr_ter_05,mode,0.0,8,final fit partition
fibr_ter_06,mode,0.0,8,final fit partition
fibr_ter_07,mode,0.0,8,final fit partition
fibr_ter_08,mode,0.0,8,final fit partition
GIPO_K,mode,0.0,217,final fit partition
K_BLOOD,median,4.1,218,final fit partition
GIPER_NA,mode,0.0,221,final fit partition
NA_BLOOD,median,136.0,221,final fit partition
ALT_BLOOD,median,0.38,165,final fit partition
AST_BLOOD,median,0.22,167,final fit partition
L_BLOOD,median,8.0,79,final fit partition
ROE,median,10.0,118,final fit partition
TIME_B_S,mode,2.0,89,final fit partition
NA_KB,mode,1.0,392,final fit partition
LID_KB,mode,0.0,402,final fit partition
NITR_S,mode,0.0,4,final fit partition
LID_S_n,mode,0.0,6,final fit partition
B_BLOK_S_n,mode,0.0,5,final fit partition
ANT_CA_S_n,mode,1.0,7,final fit partition
GEPAR_S_n,mode,1.0,7,final fit partition
ASP_S_n,mode,1.0,7,final fit partition
TIKL_S_n,mode,0.0,8,final fit partition
TRENT_S_n,mode,0.0,8,final fit partition
