model,best_params,threshold,accuracy,balanced_accuracy,recall,precision,f1,positive_prediction_rate,distance_from_default,is_default,selected
SVC,C=0.1; class_weight=balanced; kernel=linear,-7.235834096167887,0.09411764705882353,0.5,1.0,0.09411764705882353,0.17204301075268819,1.0,7.235834096167887,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-6.913274576751639,0.1,0.48924512987012986,0.96875,0.09226190476190477,0.16847826086956522,0.9882352941176471,6.913274576751639,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-6.59071505733539,0.10294117647058823,0.4908685064935065,0.96875,0.09253731343283582,0.16893732970027248,0.9852941176470589,6.59071505733539,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-6.268155537919142,0.10294117647058823,0.4908685064935065,0.96875,0.09253731343283582,0.16893732970027248,0.9852941176470589,6.268155537919142,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-5.9455960185028935,0.10294117647058823,0.4908685064935065,0.96875,0.09253731343283582,0.16893732970027248,0.9852941176470589,5.9455960185028935,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-5.623036499086646,0.11470588235294117,0.497362012987013,0.96875,0.09365558912386707,0.17079889807162535,0.9735294117647059,5.623036499086646,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-5.300476979670398,0.11176470588235295,0.481737012987013,0.9375,0.09090909090909091,0.16574585635359115,0.9705882352941176,5.300476979670398,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-4.977917460254149,0.11764705882352941,0.4849837662337662,0.9375,0.09146341463414634,0.16666666666666666,0.9647058823529412,4.977917460254149,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-4.655357940837901,0.12352941176470589,0.4882305194805195,0.9375,0.09202453987730061,0.16759776536312848,0.9588235294117647,4.655357940837901,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-4.3327984214216535,0.1323529411764706,0.49310064935064934,0.9375,0.09287925696594428,0.16901408450704225,0.95,4.3327984214216535,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-4.010238902005405,0.13823529411764707,0.4963474025974026,0.9375,0.09345794392523364,0.16997167138810199,0.9441176470588235,4.010238902005405,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-3.687679382589157,0.14411764705882352,0.49959415584415584,0.9375,0.09404388714733543,0.17094017094017094,0.9382352941176471,3.687679382589157,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-3.3651198631729087,0.1588235294117647,0.507711038961039,0.9375,0.09554140127388536,0.17341040462427745,0.9235294117647059,3.3651198631729087,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-3.0425603437566604,0.1676470588235294,0.5125811688311688,0.9375,0.09646302250803858,0.1749271137026239,0.9147058823529411,3.0425603437566604,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-2.7200008243404126,0.18529411764705883,0.5223214285714286,0.9375,0.09836065573770492,0.17804154302670624,0.8970588235294118,2.7200008243404126,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-2.397441304924164,0.22058823529411764,0.5278003246753247,0.90625,0.09965635738831616,0.17956656346749225,0.8558823529411764,2.397441304924164,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-2.074881785507916,0.2676470588235294,0.5537743506493507,0.90625,0.10545454545454545,0.18892508143322476,0.8088235294117647,2.074881785507916,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-1.7523222660916682,0.31176470588235294,0.5641233766233766,0.875,0.10852713178294573,0.19310344827586207,0.7588235294117647,1.7523222660916682,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-1.4297627466754195,0.3735294117647059,0.5982142857142857,0.875,0.11814345991561181,0.20817843866171004,0.6970588235294117,1.4297627466754195,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-1.1072032272591716,0.43823529411764706,0.6059253246753247,0.8125,0.12322274881516587,0.2139917695473251,0.6205882352941177,1.1072032272591716,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-0.7846437078429229,0.49411764705882355,0.6087662337662337,0.75,0.1276595744680851,0.21818181818181817,0.5529411764705883,0.7846437078429229,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-0.4620841884266751,0.55,0.5696022727272727,0.59375,0.11949685534591195,0.19895287958115182,0.4676470588235294,0.4620841884266751,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,-0.13952466901042726,0.6088235294117647,0.5740665584415585,0.53125,0.1259259259259259,0.20359281437125748,0.39705882352941174,0.13952466901042726,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,0.0,0.6294117647058823,0.5714285714285714,0.5,0.12698412698412698,0.20253164556962025,0.37058823529411766,0.0,True,False
SVC,C=0.1; class_weight=balanced; kernel=linear,0.18303485040582146,0.6823529411764706,0.5726461038961039,0.4375,0.1346153846153846,0.20588235294117646,0.3058823529411765,0.18303485040582146,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,0.5055943698220693,0.7764705882352941,0.6245941558441559,0.4375,0.19444444444444445,0.2692307692307692,0.21176470588235294,0.5055943698220693,False,True
SVC,C=0.1; class_weight=balanced; kernel=linear,0.8281538892383171,0.8,0.5535714285714286,0.25,0.15384615384615385,0.19047619047619047,0.15294117647058825,0.8281538892383171,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,1.1507134086545658,0.8441176470588235,0.5639204545454546,0.21875,0.2,0.208955223880597,0.10294117647058823,1.1507134086545658,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,1.4732729280708146,0.8558823529411764,0.570413961038961,0.21875,0.22580645161290322,0.2222222222222222,0.09117647058823529,1.4732729280708146,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,1.7958324474870615,0.8676470588235294,0.520900974025974,0.09375,0.15789473684210525,0.11764705882352941,0.05588235294117647,1.7958324474870615,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,2.11839196690331,0.8852941176470588,0.5306412337662338,0.09375,0.23076923076923078,0.13333333333333333,0.03823529411764706,2.11839196690331,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,2.440951486319559,0.8911764705882353,0.5058847402597403,0.03125,0.14285714285714285,0.05128205128205128,0.020588235294117647,2.440951486319559,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,2.763511005735806,0.8941176470588236,0.5075081168831168,0.03125,0.16666666666666666,0.05263157894736842,0.01764705882352941,2.763511005735806,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,3.0860705251520546,0.8941176470588236,0.4935064935064935,0.0,0.0,0.0,0.011764705882352941,3.0860705251520546,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,3.4086300445683033,0.8970588235294118,0.49512987012987014,0.0,0.0,0.0,0.008823529411764706,3.4086300445683033,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,3.7311895639845503,0.9029411764705882,0.49837662337662336,0.0,0.0,0.0,0.0029411764705882353,3.7311895639845503,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,4.053749083400799,0.9029411764705882,0.49837662337662336,0.0,0.0,0.0,0.0029411764705882353,4.053749083400799,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,4.376308602817048,0.9029411764705882,0.49837662337662336,0.0,0.0,0.0,0.0029411764705882353,4.376308602817048,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,4.698868122233295,0.9029411764705882,0.49837662337662336,0.0,0.0,0.0,0.0029411764705882353,4.698868122233295,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,5.021427641649543,0.9029411764705882,0.49837662337662336,0.0,0.0,0.0,0.0029411764705882353,5.021427641649543,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,5.343987161065792,0.9029411764705882,0.49837662337662336,0.0,0.0,0.0,0.0029411764705882353,5.343987161065792,False,False
SVC,C=0.1; class_weight=balanced; kernel=linear,5.66654668048204,0.9029411764705882,0.49837662337662336,0.0,0.0,0.0,0.0029411764705882353,5.66654668048204,False,False
