feature,correlation_with_target,absolute_correlation
zab_leg_02,0.11844633219339849,0.11844633219339849
AGE,0.10566200606072207,0.10566200606072207
STENOK_AN,0.0978638442735851,0.0978638442735851
np_01,0.09775117168360856,0.09775117168360856
FK_STENOK,0.0891143495894063,0.0891143495894063
IBS_POST,0.08500158497358581,0.08500158497358581
L_BLOOD,0.07612424008519411,0.07612424008519411
NITR_S,0.07477584061451902,0.07477584061451902
n_p_ecg_p_07,0.06889674458475747,0.06889674458475747
GT_POST,0.06357554078400703,0.06357554078400703
